ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade,populacao,fonte_populacao,internacoes_por_100k,obitos_por_100k
2023,1360,130406,Tabatinga,46,3.3823529411764706,69524,Interpolacao linear entre Censo 2022 e estimativa 2024,1956.1590242218513,66.16420228985675
2023,1212,130410,Tapaua,12,0.9900990099009901,20050,Interpolacao linear entre Censo 2022 e estimativa 2024,6044.887780548629,59.8503740648379
2023,5621,130420,Tefe,68,1.2097491549546344,76474,Interpolacao linear entre Censo 2022 e estimativa 2024,7350.210529068703,88.9191097627952
2023,1161,130423,Tonantins,12,1.03359173126615,19736,Interpolacao linear entre Censo 2022 e estimativa 2024,5882.6509931090395,60.80259424402108
2023,745,130426,Uarini,5,0.6711409395973155,14854,Interpolacao linear entre Censo 2022 e estimativa 2024,5015.484044701764,33.66096674296486
2023,938,130430,Urucara,14,1.4925373134328357,19068,Interpolacao linear entre Censo 2022 e estimativa 2024,4919.236417033774,73.42143906020557
2023,541,130440,Urucurituba,6,1.1090573012939002,24768,Interpolacao linear entre Censo 2022 e estimativa 2024,2184.270025839793,24.224806201550386
2024,1073,130002,Alvaraes,8,0.7455731593662628,16670,IBGE - Estimativas de populacao,6436.712657468506,47.990401919616076
2024,435,130006,Amatura,0,0.0,11411,IBGE - Estimativas de populacao,3812.1111208483044,0.0
2024,1724,130008,Anama,2,0.11600928074245939,10318,IBGE - Estimativas de populacao,16708.6644698585,19.38360147315371
2024,1658,130010,Anori,11,0.6634499396863691,17932,IBGE - Estimativas de populacao,9246.040597813964,61.34285076957394
2024,988,130014,Apui,27,2.7327935222672064,21735,IBGE - Estimativas de populacao,4545.663676098459,124.22360248447205
2024,973,130020,Atalaia Do Norte,14,1.4388489208633095,15892,IBGE - Estimativas de populacao,6122.57739743267,88.09463881198087
2024,1765,130030,Autazes,31,1.7563739376770537,45328,IBGE - Estimativas de populacao,3893.840451817861,68.39039887045534
2024,1060,130040,Barcelos,18,1.6981132075471699,18626,IBGE - Estimativas de populacao,5690.969612369806,96.63910662514765
